Date,Price,reverse
"Jul 08, 2020",246.99,397
"Jul 09, 2020",242.02,396
"Jul 10, 2020",241.26,395
"Jul 11, 2020",239.2,394
"Jul 12, 2020",242.75,393
"Jul 13, 2020",239.73,392
"Jul 14, 2020",240.5,391
"Jul 15, 2020",238.62,390
"Jul 16, 2020",233.65,389
"Jul 17, 2020",232.75,388
"Jul 18, 2020",235.75,387
"Jul 19, 2020",239.01,386
"Jul 20, 2020",236.1,385
"Jul 21, 2020",245.53,384
"Jul 22, 2020",263.28,383
"Jul 23, 2020",275.34,382
"Jul 24, 2020",279.33,381
"Jul 25, 2020",305.32,380
"Jul 26, 2020",311.13,379
"Jul 27, 2020",321.8,378
"Jul 28, 2020",316.96,377
"Jul 29, 2020",317.82,376
"Jul 30, 2020",334.87,375
"Jul 31, 2020",346.51,374
"Aug 01, 2020",387.14,373
"Aug 02, 2020",372.08,372
"Aug 03, 2020",385.8,371
"Aug 04, 2020",389.62,370
"Aug 05, 2020",400.79,369
"Aug 06, 2020",394.83,368
"Aug 07, 2020",379.57,367
"Aug 08, 2020",396.76,366
"Aug 09, 2020",390.23,365
"Aug 10, 2020",395.53,364
"Aug 11, 2020",379.01,363
"Aug 12, 2020",387.12,362
"Aug 13, 2020",424.31,361
"Aug 14, 2020",438.03,360
"Aug 15, 2020",432.18,359
"Aug 16, 2020",433.63,358
"Aug 17, 2020",430.56,357
"Aug 18, 2020",422.16,356
"Aug 19, 2020",407.44,355
"Aug 20, 2020",416.05,354
"Aug 21, 2020",387.99,353
"Aug 22, 2020",395.56,352
"Aug 23, 2020",390.5,351
"Aug 24, 2020",407.7,350
"Aug 25, 2020",383.2,349
"Aug 26, 2020",385.96,348
"Aug 27, 2020",383.11,347
"Aug 28, 2020",395.11,346
"Aug 29, 2020",398.8,345
"Aug 30, 2020",428.86,344
"Aug 31, 2020",433.9,343
"Sep 01, 2020",475.8,342
"Sep 02, 2020",439.08,341
"Sep 03, 2020",381.97,340
"Sep 04, 2020",385.94,339
"Sep 05, 2020",334.91,338
"Sep 06, 2020",353.49,337
"Sep 07, 2020",352.06,336
"Sep 08, 2020",337.46,335
"Sep 09, 2020",351.1,334
"Sep 10, 2020",367.92,333
"Sep 11, 2020",373.72,332
"Sep 12, 2020",387.98,331
"Sep 13, 2020",365.71,330
"Sep 14, 2020",376.7,329
"Sep 15, 2020",364.01,328
"Sep 16, 2020",364.88,327
"Sep 17, 2020",388.97,326
"Sep 18, 2020",384.2,325
"Sep 19, 2020",385.25,324
"Sep 20, 2020",371.12,323
"Sep 21, 2020",341.3,322
"Sep 22, 2020",344.03,321
"Sep 23, 2020",319.95,320
"Sep 24, 2020",349.17,319
"Sep 25, 2020",351.63,318
"Sep 26, 2020",354.25,317
"Sep 27, 2020",357.23,316
"Sep 28, 2020",354.08,315
"Sep 29, 2020",359.86,314
"Sep 30, 2020",359.39,313
"Oct 01, 2020",353.07,312
"Oct 02, 2020",345.68,311
"Oct 03, 2020",345.6,310
"Oct 04, 2020",352.73,309
"Oct 05, 2020",353.28,308
"Oct 06, 2020",340.61,307
"Oct 07, 2020",341.48,306
"Oct 08, 2020",350.83,305
"Oct 09, 2020",365.28,304
"Oct 10, 2020",370.16,303
"Oct 11, 2020",374.19,302
"Oct 12, 2020",386.68,301
"Oct 13, 2020",381.23,300
"Oct 14, 2020",379.15,299
"Oct 15, 2020",377.45,298
"Oct 16, 2020",365.17,297
"Oct 17, 2020",368.63,296
"Oct 18, 2020",377.81,295
"Oct 19, 2020",379.19,294
"Oct 20, 2020",368.35,293
"Oct 21, 2020",391.2,292
"Oct 22, 2020",414.05,291
"Oct 23, 2020",408.52,290
"Oct 24, 2020",411.92,289
"Oct 25, 2020",406.09,288
"Oct 26, 2020",394.11,287
"Oct 27, 2020",403.15,286
